ID,Domanda,Gravidanza,Salute/Medicina,Altri contesti,Chatbot non dve rispondere
364,Quali sono i difetti che possono causare problemi nell'articolazione dell'anca del mio bambino?,,,,
218,Quali sono i benefici dell'allattamento al seno per il neonato?,,,,
120,Perché il mio bambino ha spesso il sangue dal naso?,,,,
482,Mi sento più affamata del solito.,,,,
22,Come funziona il test di gravidanza e quali sono le differenze tra il test urinario e il test del sangue?,,,,
452,Come posso capire quale sia il fattore di protezione di una crema solare?,,,,
113,"Perché il mio bambino sembra riluttante a mangiare o provare nuovi alimenti, in particolare frutta e verdura?",,,,
402,Il bambino potrebbe già nascere alla 37esima settimana?,,,,
495,Vorrei migliorare la mia dieta alimentare.,,,,
220,Come vengono influenzati i livelli di prolattina e ossitocina durante l'allattamento?,,,,
269,Come posso comportarmi in modo affettuoso nei confronti del mio bambino appena nato?,,,,
353,Il mio bambino sente la mia voce?,,,,
82,Posso prendere il sole?,,,,
406,Cosa posso fare per dormire meglio?,,,,
271,Quali sono le modalità di trasmissione dell'HIV?,,,,
391,Ho bisogno di consigli su come affrontare una crisi familiare.,,,,
397,Sto cercando un modo per migliorare la mia gestione del tempo libero.,,,,
152,Perchè non sono più regolare ad andare in bagno?,,,,
34,Quali sono i migliori rimedi per il mal di testa?,,,,
286,Sto cercando di evitare i farmaci.,,,,
462,Cosa sono le statine e come agiscono nel nostro organismo?,,,,
294,Ho bisogno di aiuto per pianificare il mio pensionamento.,,,,
114,Quali sono le possibili cause dei tremori del neonato?,,,,
227,Quali sono i segni e sintomi dell'anoressia nervosa?,,,,
211,Perché il mio bambino è così aggressivo?,,,,
151,E' normale che senta gonfiore alla pancia la sera?,,,,
313,Come posso incoraggiare mio figlio a provare cibi nuovi senza insistere troppo?,,,,
125,Con una malattia cronica non avrò mai figli?,,,,
240,Ho bisogno di più tranquillità.,,,,
473,Posso bere alcolici?,,,,
434,Sto considerando di trasferirmi all'estero per lavoro.,,,,
123,Quali sono i disturbi più comuni causati dall'infezione da clamidia?,,,,
182,Quali sono i migliori modi per mantenere una buona circolazione?,,,,
440,Posso continuare a lavorare?,,,,
172,È sicuro fare il bagno al mare durante la gravidanza?,,,,
381,Sto cercando di evitare le situazioni stressanti.,,,,
167,Quali sono i sintomi dell'infezione da malattia bocca mani piedi negli adulti?,,,,
356,Come faccio a sapere se il mio seno va bene per allattare?,,,,
446,"Ho la febbre, posso prendere una tachipirina?",,,,
132,Devo usare solo profumi naturali?,,,,
258,Perchè ho le gambe pesanti e gonfie?,,,,
150,Quali sono le opzioni di finanziamento per l'istruzione superiore?,,,,
296,Ho bisogno di consigli per migliorare la mia produttività al lavoro.,,,,
160,Quali sostanze oltrepassano la placenta?,,,,
244,Sto pensando di avviare una mia attività.,,,,
183,Posso fare un bagno in piscina?,,,,
282,Mi sento più ansiosa del solito.,,,,
57,Quando compaiono i primi movimenti del feto?,,,,
403,E' normale avere paura del parto?,,,,
35,Quali sono i benefici di una dieta equilibrata?,,,,
58,Quanto è grande il mio bambino a 8 settimane?,,,,
293,Sono interessato a seguire un corso di formazione professionale.,,,,
487,Come posso accedere a cure mediche di qualità nella mia area?,,,,
247,Sono interessato a investire in criptovalute.,,,,
26,A cosa serve il test combinato in gravidanza?,,,,
129,Quali sono i sintomi principali dell'endometriosi?,,,,
126,Quali sono le tecniche di procreazione medicalmente assistita di I livello?,,,,
309,Quando le altre persone potrannno sentire il bambino muoversi?,,,,
127,Durante l'allattamento posso rimanere incinta?,,,,
459,Cos'è la vitamina A e quali sono le sue principali funzioni nel nostro organismo?,,,,
135,Quali sono i rischi di non gestire lo stress?,,,,
202,Quanto pesa il mio bambino alla 19esima settimana?,,,,
90,Quali sono i benefici di una buona idratazione?,,,,
70,Come si sviluppano le funzioni motorie nei neonati?,,,,
230,Qual è il nome scientifico del virus che causa la quinta malattia?,,,,
166,Come posso aiutare il mio bambino a sviluppare un senso di autostima sano?,,,,
283,Ho bisogno di più tempo per rilassarmi.,,,,
372,Cosa è una dieta vegetariana e quali alimenti sono esclusi?,,,,
6,Quali sono i sintomi principali della gravidanza?,,,,
307,è normale avere mal di schiena?,,,,
63,Quali sono le conseguenze fetali che possono essere causate da un'infezione durante la gravidanza?,,,,
276,Quali sono le cause dell'ernia ombelicale nei neonati e nei bambini?,,,,
190,Ho iniziato a fare esercizi leggeri.,,,,
181,Posso usare qualsiasi tipo di trucco?,,,,
2,Posso bere alcolici in gravidanza?,,,,
260,Che cosa sono gli incontri di accompagnamento alla nascita?,,,,
219,Come si sentono i papà di solito di fronte al grande carico di responsabilità che viene loro attribuito?,,,,
18,Quali sono le motivazioni che possono portare una donna a non accogliere la propria maternità?,,,,
187,Non riesco a dormire bene la notte.,,,,
400,Cosa succede se il tampone vaginale risulta positivo?,,,,
103,Posso già sentire il mio bambino che si muove?,,,,
234,Ho bisogno di più supporto.,,,,
443,Cosa devere fare il papà del bambino durante il parto?,,,,
147,Quali sono le opzioni di intrattenimento culturale nella mia città?,,,,
4,Come faccio a sapere a che settimana sono?,,,,
351,Posso lavorare fino al termine della gravidanza?,,,,
419,Qual è la data di riferimento per l'età concezionale?,,,,
66,Qual è il ruolo del latte materno rispetto a quello in polvere?,,,,
277,Quali sono le principali carenze nutrizionali che possono verificarsi in chi segue una dieta vegana?,,,,
215,Quali sono le attività fisiche da evitare durante una laringite?,,,,
21,Quali sono i sintomi più comuni dell'infezione da SARS-CoV-2 nelle donne in gravidanza?,,,,
13,Quanto dura la degenza nell'Unità Operativa di Ostetricia e Ginecologia dell'Ospedale di Cavalese?,,,,
431,Come posso ottenere supporto legale nella mia area?,,,,
488,Come posso migliorare la mia dieta per una vita più sana?,,,,
251,Che creme posso utilizzare?,,,,
441,Chi seguirà me e il mio bambino dopo il parto?,,,,
16,Qual è l'importanza dei primi 1000 giorni nella vita di un bambino?,,,,
62,Perché le organizzazioni scientifiche internazionali non raccomandano l'esecuzione di routine dello screening per la funzione tiroidea durante la gravidanza?,,,,
239,Sto cercando di evitare i cibi fritti.,,,,
423,Cos'è un angioma e quali sono le sue caratteristiche principali?,,,,
49,Quali sono le normative fiscali per i lavoratori autonomi?,,,,
360,Perchè devo fare il tampone vagino-rettale?,,,,
42,Come posso migliorare la sicurezza del mio account online?,,,,
311,Quali alimenti potrebbero causare la stomatite?,,,,
383,Ho bisogno di più tempo per organizzarmi.,,,,
36,Posso fare sport?,,,,
20,Quali farmaci posso assumere durante la gravidanza?,,,,
300,Sto cercando un modo per migliorare la mia forma fisica.,,,,
303,Che cosa sono le contrazioni di Braxton Hicks?,,,,
89,Posso fare un viaggio lungo?,,,,
267,Come influisce l'ascolto delle parole pronunciate dalla madre durante la gestazione sul bambino appena nato?,,,,
429,Quali sono i principali tipi di gastroprotettori e quali sono le loro funzioni?,,,,
93,Quali sono le tendenze attuali nel settore tecnologico?,,,,
28,Durante la gravidanza si deve mangiare per due?,,,,
173,Cosa è il test del DNA fetale e a cosa serve?,,,,
373,È vero che le donne che decidono di vaccinarsi contro il COVID-19 durante l’allattamento devono sospenderlo?,,,,
205,Durante l'ecografia posso vedere se è affetto da Sindrome di Down?,,,,
45,Quali sono i passaggi per avviare un'attività commerciale nel mio paese?,,,,
354,Che cos'è il liquido che esce dalle mammelle?,,,,
241,Credo che un mio collega abbia una cotta per me.,,,,
61,Come posso prenotare le visite in gravidanza?,,,,
375,Cosa si intende per urinocoltura e a cosa serve?,,,,
492,Ho difficoltà a dormire la notte.,,,,
30,Cosa si intende per diagnosi prenatale e quali sono gli obiettivi principali di questa pratica?,,,,
192,Come posso accedere a programmi di formazione continua?,,,,
139,Posso mangiare dolci?,,,,
245,Vorrei imparare una nuova lingua.,,,,
272,Cosa causa l'anemia di Fanconi?,,,,
242,Le bollette non fanno che aumentare.,,,,
319,Quali sono i pericoli principali a cui il mio bambino potrebbe essere esposto a partire dai 4 mesi?,,,,
447,"Il bambino non si attacca al seno, che cosa posso fare?",,,,
38,Quali sono i migliori metodi per rilassarsi?,,,,
453,Cosa posso fare se noto dei nei sul mio bambino appena nato?,,,,
345,Vorrei sapere come posso migliorare la mia sicurezza informatica.,,,,
175,Qual è l'obiettivo della terapia antiepilettica?,,,,
298,Ho bisogno di informazioni su come ottenere un mutuo.,,,,
7,Perché dall'ecografia non si vede ancora niente?,,,,
104,Sono alla decima settimana e non si vede ancora nulla,,,,
191,Quali sono le normative per la protezione dei dati personali?,,,,
476,Quali sono i migliori modi per mantenere una buona postura?,,,,
330,Quali sono le principali tipologie di farmaci miorilassanti e come agiscono sul corpo?,,,,
340,Ho bisogno di più tempo per riflettere.,,,,
12,Quando devo fare il primo controllo durante la gravidanza?,,,,
169,Qual è la differenza tra lo zucchero scuro e quello bianco?,,,,
15,Quali sono le buone pratiche alla nascita che assicurano un'assistenza rispettosa della fisiologia?,,,,
225,Quali sono i rischi per la salute del mio bambino legati all'autoimmunità durante la gravidanza?,,,,
91,Quali sono le migliori strategie per investire in borsa?,,,,
137,Posso fare un'escursione in montagna?,,,,
84,Quali sono i migliori modi per mantenere l'energia durante il giorno?,,,,
336,Mi sento più attenta ai dettagli.,,,,
331,Ho bisogno di più informazioni.,,,,
78,Come può essere identificata la sindrome di Down durante la gravidanza?,,,,
479,Mi sento spesso stanca.,,,,
374,Quali sono le cause delle emorroidi?,,,,
427,Quali sono le possibili cause dell'epilessia?,,,,
342,Vorrei sapere come posso migliorare la mia comunicazione interpersonale.,,,,
213,Come posso favorire la regolazione dei ritmi sonno-veglia del mio bambino?,,,,
297,Vorrei sapere come posso contribuire alla mia comunità locale.,,,,
162,Quali cibi dovrei evitare nei primi giorni dopo un episodio di disidratazione del mio bambino?,,,,
107,Quando fare il test combinato?,,,,
130,Quali sono i fattori genetici e ambientali che possono contribuire allo sviluppo dell'asma?,,,,
203,Cosa riesco a vedere durante l'ecografia?,,,,
304,Che cosa succede nel terzo trimestre di gravidanza?,,,,
290,Mi sento più connessa con il mio corpo.,,,,
73,Quali sono i principali disturbi (sintomi) che possono verificarsi nelle persone con anemia falciforme?,,,,
206,Chi posso contattare per i corsi di accompagnamento alla nascita?,,,,
324,Cos'è la Neurofibromatosi 1 e quali sono le sue manifestazioni principali?,,,,
216,Quali sono i dosaggi della proteina free Beta HCG durante la gestazione in caso di anomalia cromosomica?,,,,
350,Sto cercando un modo per migliorare la mia resilienza.,,,,
11,Quali sono le vaccinazioni sicure e consigliate durante la gravidanza?,,,,
236,Ho bisogno di più tempo per me stessa.,,,,
261,Quali sono i rischi legati all'iperidratazione correlata all'uso di liquidi delle flebo?,,,,
390,Quali sono le opzioni di assicurazione sanitaria disponibili?,,,,
355,è normale avere perdite dai capezzoli?,,,,
64,Cos'è l'ecografia e come funziona?,,,,
328,Quali sono le cause principali delle infezioni delle vie urinarie?,,,,
281,Sto cercando di evitare situazioni affollate.,,,,
500,Ho bisogno di consigli su come affrontare una perdita personale.,,,,
52,E' normale che sia sempre stanca?,,,,
432,Come posso migliorare la mia produttività lavorativa?,,,,
380,Quali sono i sintomi tipici della malattia di Huntington?,,,,
263,Qual è il metodo di diagnosi più accurato per individuare la displasia congenita dell'anca?,,,,
204,Quali malformazioni potrebbe avere il mio bambino?,,,,
416,Cosa sono le parasonnie e quali sono le più frequenti?,,,,
17,"Qual è il modo più naturale, sicuro, efficace ed economico per alimentare il tuo bambino?",,,,
458,Perché il piatto di plastica per bambini è diverso da quello da tavola?,,,,
24,Quali sono le malattie infettive più pericolose da contrarre in gravidanza per il mio bambino?,,,,
79,Cos'è la villocentesi e quali sono le sue finalità?,,,,
168,Come posso capire se il pianto del mio neonato è normale?,,,,
158,Che tipo di protezione posso utilizzare per il sole?,,,,
284,Mi sento più protettiva.,,,,
370,Come posso contribuire attivamente allo sviluppo del mio neonato durante il ricovero?,,,,
407,è normale che faccia fatica a muovermi?,,,,
436,Posso mangiare il prosciutto crudo?,,,,
394,Vorrei sapere come posso migliorare la mia capacità di risolvere problemi.,,,,
189,Sto cercando vestiti più comodi.,,,,
233,Ho iniziato a prendere delle vitamine.,,,,
200,Come posso migliorare la mia capacità di risolvere problemi complessi?,,,,
87,Posso usare un detergente antibatterico?,,,,
265,Come posso garantire che il latte in polvere per il mio bambino sia sicuro da batteri?,,,,
421,Quali sono le principali funzioni della vitamina C nel nostro organismo?,,,,
377,Quali sono i principali tipi di glaucoma e le relative caratteristiche?,,,,
349,Vorrei sapere come posso migliorare la mia leadership.,,,,
178,Quali sono le principali strategie di prevenzione contro l'influenza?,,,,
171,Quali sono i sintomi principali della varicella e come si manifesta l'esantema cutaneo?,,,,
474,Posso fare un bagno caldo?,,,,
285,Ho bisogno di più attenzioni.,,,,
75,Che cosa sono i livelli normali di glicemia nel sangue dopo 8 ore di digiuno?,,,,
316,Come si calcola correttamente il BMI nei bambini?,,,,
116,Qual è il modo migliore per far mangiare il mio bambino?,,,,
154,Quanto peso posso prendere in gravidanza?,,,,
196,Quali sono le opzioni di energia rinnovabile disponibili?,,,,
214,Come posso aiutare il mio bambino a sviluppare la precisione e la concentrazione?,,,,
344,Ho bisogno di aiuto per organizzare un evento.,,,,
69,Come posso garantire il benessere psicofisico del mio bambino?,,,,
74,Quali sono i sintomi più comuni della rosolia negli adulti durante i primi cinque giorni di malattia?,,,,
8,Devo aumentare la quantità di cibo ai pasti?,,,,
153,Quali alimenti contengono più fibra?,,,,
111,Come vengono gestite le lezioni frontali nella scuola montessoriana rispetto a quella tradizionale?,,,,
92,Come posso ottenere un prestito per l'acquisto di una casa?,,,,
468,Quali sono i principali componenti della curcuma e quali sono gli effetti benefici attribuiti alla spezia?,,,,
14,Quali sono i benefici dell'immersione in acqua durante il travaglio e il parto?,,,,
334,Ho bisogno di più tempo per pianificare.,,,,
117,Perché il mio bambino sembra così sonnolento e meno attivo nella ricerca del seno dopo il taglio cesareo?,,,,
273,Posso avere figli nonostante la mia malattia reumatica?,,,,
248,Vorrei sapere come ridurre la mia impronta ecologica.,,,,
422,Quali sono i sintomi più comuni dell'anemia da carenza di ferro?,,,,
41,Quali sono i requisiti per ottenere un visto?,,,,
210,Cosa posso usare per ridurre il prurito alla pancia?,,,,
486,Sto cercando di evitare l'alcol.,,,,
25,È vietato assumere farmaci durante la gravidanza e l'allattamento?,,,,
457,Quali sono le possibili cause della SIDS?,,,,
71,Quali sono i principali problemi di salute legati alla talassemia?,,,,
100,Come posso gestire efficacemente un team remoto?,,,,
326,Cosa sono i metalli pesanti negli alimenti?,,,,
47,Quali sono le opzioni di trasporto pubblico disponibili nella mia città?,,,,
466,"Se prendo la pillola anticoncezionale, sono protetta dalle infezioni sessualmente trasmesse?",,,,
445,Cosa è il PFAPA?,,,,
163,Quali sono le differenze tra la quinta e la sesta malattia?,,,,
109,Che senso sviluppa per primo il feto?,,,,
110,Quando cresce la placenta?,,,,
221,Quali sono i sintomi della sifilide e come si manifesta la malattia nel corpo?,,,,
105,Che differenza c'è fra embrione e feto?,,,,
146,Come posso accedere a servizi di consulenza professionale?,,,,
410,Cosa devo fare se il bambino non nasce alla 40esima settimana?,,,,
438,Devo evitare certi cibi?,,,,
305,Quando devo andare in pronto soccorso?,,,,
31,Quanto spesso devo fare esercizio?,,,,
405,Sono alla 38 settimana e la pancia mi sembra enorme,,,,
85,Posso mangiare cibi piccanti?,,,,
301,Chi posso contattare per avere informazioni sugli incontri di accompagnamento alla nascita?,,,,
346,Ho bisogno di consigli su come affrontare un cambiamento di carriera.,,,,
98,Come posso migliorare la qualità dell'aria nella mia casa?,,,,
3,Cosa significa embrione?,,,,
124,Perché è importante fare un'ecocardiografia fetale e in quali casi è consigliata?,,,,
362,"Qual è il peso considerato ""basso"" per un neonato alla nascita?",,,,
179,Cos'è la gonorrea e come si trasmette?,,,,
102,Quanti caffè posso bere al giorno?,,,,
455,"Quali sono i cambiamenti fisiologici che avvengono nel seno durante la pubertà, la gravidanza e l'allattamento?",,,,
165,A che settimana si sviluppa il senso dell'udito nel feto?,,,,
393,Ho bisogno di informazioni su come ottenere una borsa di studio.,,,,
67,Qual è l'incidenza dell'emicrania nel sesso femminile rispetto a quello maschile?,,,,
32,Quali sono i migliori integratori da prendere?,,,,
60,è normale fare spesso pipì?,,,,
217,Come posso esprimere il mio dolore e la mia angoscia post parto?,,,,
493,Credo di essere intollerante al lievito.,,,,
222,Quali sono i sintomi iniziali dell'arterite di Takayasu e come possono variare da persona a persona?,,,,
366,Quali sono le particolarità da tenere in considerazione durante una gravidanza gemellare?,,,,
232,Sto cercando di evitare lo stress.,,,,
209,Il mio piccolo sarà peloso alla nascita?,,,,
